"year","firm_id","y_d","treatment_effect","e","year_fe","firms_fe","te_coeff","treat","time_til","treat_date","group","town"
2022,4,351.318007580601,330,0.163705283230287,13.5,-2.34569770262935,15,TRUE,21,2001,1,1
2023,4,367.150583110747,345,0.496280813376046,14,-2.34569770262935,15,TRUE,22,2001,1,1
2024,4,382.687002584384,360,0.532700287013544,14.5,-2.34569770262935,15,TRUE,23,2001,1,1
1995,5,8.96388366112076,0,-1.46524102769029,0,0.42912468881105,15,FALSE,-6,2001,1,1
1996,5,10.7477378173172,0,-0.181386871493875,0.5,0.42912468881105,15,FALSE,-5,2001,1,1
1997,5,11.7140909578573,0,0.284966269046279,1,0.42912468881105,15,FALSE,-4,2001,1,1
1998,5,11.3693069526585,0,-0.559817736152518,1.5,0.42912468881105,15,FALSE,-3,2001,1,1
1999,5,11.948799509509,0,-0.480325179302046,2,0.42912468881105,15,FALSE,-2,2001,1,1
2000,5,13.0659929247672,0,0.136868235956103,2.5,0.42912468881105,15,FALSE,-1,2001,1,1
2001,5,28.208413044491,15,-0.22071164432008,3,0.42912468881105,15,TRUE,0,2001,1,1
2002,5,43.0633807799718,30,-0.865743908839256,3.5,0.42912468881105,15,TRUE,1,2001,1,1
2003,5,59.8820521107992,45,0.452927421988187,4,0.42912468881105,15,TRUE,2,2001,1,1
2004,5,74.5087048680577,60,-0.420419820753387,4.5,0.42912468881105,15,TRUE,3,2001,1,1
2005,5,90.622298616274,75,0.193173927462984,5,0.42912468881105,15,TRUE,4,2001,1,1
2006,5,106.13533974604,90,0.206215057228508,5.5,0.42912468881105,15,TRUE,5,2001,1,1
2007,5,122.189759010332,105,0.760634321521173,6,0.42912468881105,15,TRUE,6,2001,1,1
2008,5,137.027406806541,120,0.098282117730411,6.5,0.42912468881105,15,TRUE,7,2001,1,1
2009,5,152.761929865229,135,0.332805176418391,7,0.42912468881105,15,TRUE,8,2001,1,1
2010,5,168.499420234935,150,0.570295546124056,7.5,0.42912468881105,15,TRUE,9,2001,1,1
2011,5,183.225934124787,165,-0.203190564023795,8,0.42912468881105,15,TRUE,10,2001,1,1
2012,5,198.101344011966,180,-0.827780676844645,8.5,0.42912468881105,15,TRUE,11,2001,1,1
2013,5,214.500589707057,195,0.0714650182455499,9,0.42912468881105,15,TRUE,12,2001,1,1
2014,5,230.592081842965,210,0.662957154154413,9.5,0.42912468881105,15,TRUE,13,2001,1,1
2015,5,244.725985858491,225,-0.703138830319777,10,0.42912468881105,15,TRUE,14,2001,1,1
2016,5,261.435190496309,240,0.506065807497573,10.5,0.42912468881105,15,TRUE,15,2001,1,1
2017,5,276.399059267332,255,-0.0300654214789128,11,0.42912468881105,15,TRUE,16,2001,1,1
2018,5,291.978865400951,270,0.0497407121401365,11.5,0.42912468881105,15,TRUE,17,2001,1,1
2019,5,307.254513790058,285,-0.174610898752936,12,0.42912468881105,15,TRUE,18,2001,1,1
2020,5,323.447551328606,300,0.518426639795166,12.5,0.42912468881105,15,TRUE,19,2001,1,1
2021,5,339.141202928382,315,0.712078239570818,13,0.42912468881105,15,TRUE,20,2001,1,1
2022,5,354.714549084504,330,0.785424395693092,13.5,0.42912468881105,15,TRUE,21,2001,1,1
2023,5,368.945424322277,345,-0.483700366533642,14,0.42912468881105,15,TRUE,22,2001,1,1
2024,5,385.308767610982,360,0.379642922171396,14.5,0.42912468881105,15,TRUE,23,2001,1,1
1995,6,10.3179610649285,0,-0.188094827229072,0,0.506055892157574,15,FALSE,-6,2001,1,1
1996,6,10.5143511852,0,-0.491704706957597,0.5,0.506055892157574,15,FALSE,-5,2001,1,1
1997,6,11.7010034427092,0,0.194947550551608,1,0.506055892157574,15,FALSE,-4,2001,1,1
1998,6,11.9970805352834,0,-0.00897535687412374,1.5,0.506055892157574,15,FALSE,-3,2001,1,1
1999,6,12.9019181947026,0,0.395862302545019,2,0.506055892157574,15,FALSE,-2,2001,1,1
2000,6,13.9022548299761,0,0.896198937818507,2.5,0.506055892157574,15,FALSE,-1,2001,1,1
2001,6,29.0244143346257,15,0.518358442468162,3,0.506055892157574,15,TRUE,0,2001,1,1
2002,6,43.6582130843774,30,-0.347842807780194,3.5,0.506055892157574,15,TRUE,1,2001,1,1
2003,6,59.5758672246422,45,0.0698113324846588,4,0.506055892157574,15,TRUE,2,2001,1,1
2004,6,75.7126786391038,60,0.706622746946273,4.5,0.506055892157574,15,TRUE,3,2001,1,1
2005,6,91.0932746903054,75,0.58721879814782,5,0.506055892157574,15,TRUE,4,2001,1,1
2006,6,105.213665100825,90,-0.792390791332146,5.5,0.506055892157574,15,TRUE,5,2001,1,1
2007,6,121.979270852474,105,0.473214960316898,6,0.506055892157574,15,TRUE,6,2001,1,1
2008,6,136.835798849598,120,-0.170257042559337,6.5,0.506055892157574,15,TRUE,7,2001,1,1
2009,6,152.193374546806,135,-0.312681345351854,7,0.506055892157574,15,TRUE,8,2001,1,1
2010,6,167.455454777666,150,-0.550601114491356,7.5,0.506055892157574,15,TRUE,9,2001,1,1
2011,6,183.350158162121,165,-0.15589773003676,8,0.506055892157574,15,TRUE,10,2001,1,1
2012,6,199.350384144849,180,0.344328252691819,8.5,0.506055892157574,15,TRUE,11,2001,1,1
2013,6,215.223691831091,195,0.717635938933678,9,0.506055892157574,15,TRUE,12,2001,1,1
2014,6,230.075509441258,210,0.0694535491001108,9.5,0.506055892157574,15,TRUE,13,2001,1,1
2015,6,245.469529698947,225,-0.0365261932108695,10,0.506055892157574,15,TRUE,14,2001,1,1
2016,6,260.904887923102,240,-0.1011679690559,10.5,0.506055892157574,15,TRUE,15,2001,1,1
2017,6,276.982955560029,255,0.476899667871085,11,0.506055892157574,15,TRUE,16,2001,1,1
2018,6,291.465459168437,270,-0.540596723721018,11.5,0.506055892157574,15,TRUE,17,2001,1,1
2019,6,307.631065244433,285,0.125009352275661,12,0.506055892157574,15,TRUE,18,2001,1,1
2020,6,323.516866882443,300,0.51081099028591,12.5,0.506055892157574,15,TRUE,19,2001,1,1
2021,6,339.036981647724,315,0.530925755566827,13,0.506055892157574,15,TRUE,20,2001,1,1
2022,6,354.214590997194,330,0.208535105036378,13.5,0.506055892157574,15,TRUE,21,2001,1,1
2023,6,368.924872816473,345,-0.581183075684989,14,0.506055892157574,15,TRUE,22,2001,1,1
2024,6,384.59551352725,360,-0.410542364907331,14.5,0.506055892157574,15,TRUE,23,2001,1,1
1995,7,9.06501591100765,0,-0.360244128857699,0,-0.574739960134649,15,FALSE,-6,2001,1,1
1996,7,9.20362405551686,0,-0.721635984348488,0.5,-0.574739960134649,15,FALSE,-5,2001,1,1
1997,7,10.4452702070871,0,0.0200101672217109,1,-0.574739960134649,15,FALSE,-4,2001,1,1
1998,7,11.5367333818488,0,0.611473341983404,1.5,-0.574739960134649,15,FALSE,-3,2001,1,1
1999,7,10.2019130815505,0,-1.22334695831486,2,-0.574739960134649,15,FALSE,-2,2001,1,1
2000,7,12.3044539858561,0,0.379193945990762,2.5,-0.574739960134649,15,FALSE,-1,2001,1,1
2001,7,27.3239292128036,15,-0.101330827061755,3,-0.574739960134649,15,TRUE,0,2001,1,1
2002,7,42.5406931162678,30,-0.384566923597505,3.5,-0.574739960134649,15,TRUE,1,2001,1,1
2003,7,58.8102644455707,45,0.385004405705303,4,-0.574739960134649,15,TRUE,2,2001,1,1
2004,7,74.2494526192851,60,0.32419257941977,4.5,-0.574739960134649,15,TRUE,3,2001,1,1
2005,7,89.4733687291748,75,0.0481086893094293,5,-0.574739960134649,15,TRUE,4,2001,1,1
2006,7,104.465438363281,90,-0.459821676584685,5.5,-0.574739960134649,15,TRUE,5,2001,1,1
2007,7,120.072829151246,105,-0.352430888618958,6,-0.574739960134649,15,TRUE,6,2001,1,1
2008,7,135.116643008727,120,-0.808617031138793,6.5,-0.574739960134649,15,TRUE,7,2001,1,1
2009,7,152.365706994049,135,0.940446954183489,7,-0.574739960134649,15,TRUE,8,2001,1,1
2010,7,166.847462859442,150,-0.0777971804238066,7.5,-0.574739960134649,15,TRUE,9,2001,1,1
2011,7,182.048003165475,165,-0.377256874390621,8,-0.574739960134649,15,TRUE,10,2001,1,1
2012,7,196.844783817781,180,-1.08047622208479,8.5,-0.574739960134649,15,TRUE,11,2001,1,1
2013,7,213.210529199715,195,-0.214730840150201,9,-0.574739960134649,15,TRUE,12,2001,1,1
2014,7,228.650696087546,210,-0.274563952319798,9.5,-0.574739960134649,15,TRUE,13,2001,1,1
2015,7,243.724102098423,225,-0.701157941442166,10,-0.574739960134649,15,TRUE,14,2001,1,1
2016,7,261.117245951428,240,1.19198591156234,10.5,-0.574739960134649,15,TRUE,15,2001,1,1
2017,7,275.861732215355,255,0.43647217548924,11,-0.574739960134649,15,TRUE,16,2001,1,1
2018,7,290.157427096278,270,-0.767832943587121,11.5,-0.574739960134649,15,TRUE,17,2001,1,1
2019,7,306.992247665558,285,0.566987625692349,12,-0.574739960134649,15,TRUE,18,2001,1,1
2020,7,322.447680120174,300,0.522420080309158,12.5,-0.574739960134649,15,TRUE,19,2001,1,1
2021,7,337.720175384238,315,0.294915344372804,13,-0.574739960134649,15,TRUE,20,2001,1,1
2022,7,353.124811907313,330,0.199551867447433,13.5,-0.574739960134649,15,TRUE,21,2001,1,1
2023,7,368.497734632193,345,0.0724745923275698,14,-0.574739960134649,15,TRUE,22,2001,1,1
2024,7,384.234840648669,360,0.309580608803872,14.5,-0.574739960134649,15,TRUE,23,2001,1,1
1995,8,8.93705859116676,0,-0.516309553049058,0,-0.546631855784187,15,FALSE,-6,2001,1,1
1996,8,9.62869007507797,0,-0.324678069137841,0.5,-0.546631855784187,15,FALSE,-5,2001,1,1
1997,8,9.95236451511962,0,-0.501003629096194,1,-0.546631855784187,15,FALSE,-4,2001,1,1
1998,8,10.8704276642216,0,-0.0829404799942517,1.5,-0.546631855784187,15,FALSE,-3,2001,1,1
1999,8,11.526696291774,0,0.0733281475582101,2,-0.546631855784187,15,FALSE,-2,2001,1,1
2000,8,12.2543964062872,0,0.301028262071372,2.5,-0.546631855784187,15,FALSE,-1,2001,1,1
2001,8,27.7178959069622,15,0.26452776274641,3,-0.546631855784187,15,TRUE,0,2001,1,1
2002,8,43.6762160645965,30,0.722847920380682,3.5,-0.546631855784187,15,TRUE,1,2001,1,1
2003,8,58.7520227879303,45,0.29865464371446,4,-0.546631855784187,15,TRUE,2,2001,1,1
2004,8,74.5815266048606,60,0.628158460644782,4.5,-0.546631855784187,15,TRUE,3,2001,1,1
2005,8,90.0020891656184,75,0.548721021402604,5,-0.546631855784187,15,TRUE,4,2001,1,1
2006,8,104.659137937666,90,-0.29423020654949,5.5,-0.546631855784187,15,TRUE,5,2001,1,1
2007,8,120.829018784969,105,0.375650640753404,6,-0.546631855784187,15,TRUE,6,2001,1,1
2008,8,136.180125314725,120,0.226757170508794,6.5,-0.546631855784187,15,TRUE,7,2001,1,1
2009,8,151.5129572613,135,0.0595891170844414,7,-0.546631855784187,15,TRUE,8,2001,1,1
2010,8,166.501674290063,150,-0.451693854152609,7.5,-0.546631855784187,15,TRUE,9,2001,1,1
2011,8,182.747359372563,165,0.293991228347151,8,-0.546631855784187,15,TRUE,10,2001,1,1
2012,8,197.985232518331,180,0.0318643741156272,8.5,-0.546631855784187,15,TRUE,11,2001,1,1
2013,8,213.275950216747,195,-0.17741792746839,9,-0.546631855784187,15,TRUE,12,2001,1,1
2014,8,229.414616016425,210,0.461247872209397,9.5,-0.546631855784187,15,TRUE,13,2001,1,1
2015,8,244.949530828514,225,0.496162684297779,10,-0.546631855784187,15,TRUE,14,2001,1,1
2016,8,260.390150095113,240,0.436781950896753,10.5,-0.546631855784187,15,TRUE,15,2001,1,1
2017,8,274.147846413662,255,-1.30552173055366,11,-0.546631855784187,15,TRUE,16,2001,1,1
2018,8,290.504709727861,270,-0.448658416355024,11.5,-0.546631855784187,15,TRUE,17,2001,1,1
2019,8,306.921985803518,285,0.468617659302308,12,-0.546631855784187,15,TRUE,18,2001,1,1
2020,8,321.580699976815,300,-0.372668167400493,12.5,-0.546631855784187,15,TRUE,19,2001,1,1
2021,8,337.657637959087,315,0.20426981487127,13,-0.546631855784187,15,TRUE,20,2001,1,1
2022,8,353.044824480537,330,0.0914563363213793,13.5,-0.546631855784187,15,TRUE,21,2001,1,1
2023,8,369.007069289807,345,0.553701145591414,14,-0.546631855784187,15,TRUE,22,2001,1,1
2024,8,383.598182309026,360,-0.355185835189819,14.5,-0.546631855784187,15,TRUE,23,2001,1,1
1995,9,9.40664681622635,0,-0.0289011846803636,0,-0.564451999093283,15,FALSE,-6,2001,1,1
1996,9,10.108009709263,0,0.172461708356326,0.5,-0.564451999093283,15,FALSE,-5,2001,1,1
1997,9,11.0718752246412,0,0.636327223734498,1,-0.564451999093283,15,FALSE,-4,2001,1,1
1998,9,10.8468575832857,0,-0.0886904176210237,1.5,-0.564451999093283,15,FALSE,-3,2001,1,1
1999,9,11.5807509993959,0,0.145202998489141,2,-0.564451999093283,15,FALSE,-2,2001,1,1
2000,9,11.2641238979048,0,-0.671424103001961,2.5,-0.564451999093283,15,FALSE,-1,2001,1,1
2001,9,27.7520730158758,15,0.316525014969081,3,-0.564451999093283,15,TRUE,0,2001,1,1
2002,9,43.0389578539483,30,0.10340985304154,3.5,-0.564451999093283,15,TRUE,1,2001,1,1
2003,9,58.755201672162,45,0.319653671255265,4,-0.564451999093283,15,TRUE,2,2001,1,1
2004,9,73.7302127184228,60,-0.205335282483957,4.5,-0.564451999093283,15,TRUE,3,2001,1,1
2005,9,90.2782263115397,75,0.842678310632932,5,-0.564451999093283,15,TRUE,4,2001,1,1
2006,9,104.865634948786,90,-0.0699130521211541,5.5,-0.564451999093283,15,TRUE,5,2001,1,1
2007,9,120.496117375332,105,0.0605693744250344,6,-0.564451999093283,15,TRUE,6,2001,1,1
2008,9,135.882708412757,120,-0.0528395881497234,6.5,-0.564451999093283,15,TRUE,7,2001,1,1
2009,9,151.858700446551,135,0.423152445644485,7,-0.564451999093283,15,TRUE,8,2001,1,1
2010,9,166.551323488945,150,-0.384224511961539,7.5,-0.564451999093283,15,TRUE,9,2001,1,1
2011,9,182.536279203541,165,0.100731202634451,8,-0.564451999093283,15,TRUE,10,2001,1,1
2012,9,198.222832800141,180,0.287284799233994,8.5,-0.564451999093283,15,TRUE,11,2001,1,1
2013,9,212.812928056915,195,-0.622619943991497,9,-0.564451999093283,15,TRUE,12,2001,1,1
2014,9,229.049407404978,210,0.113859404071682,9.5,-0.564451999093283,15,TRUE,13,2001,1,1
2015,9,244.138646969772,225,-0.296901031134333,10,-0.564451999093283,15,TRUE,14,2001,1,1
2016,9,260.649953393788,240,0.714405392881103,10.5,-0.564451999093283,15,TRUE,15,2001,1,1
2017,9,275.787997035404,255,0.352449034497067,11,-0.564451999093283,15,TRUE,16,2001,1,1
2018,9,290.072981046207,270,-0.862566954700056,11.5,-0.564451999093283,15,TRUE,17,2001,1,1
2019,9,306.895190391873,285,0.459642390966498,12,-0.564451999093283,15,TRUE,18,2001,1,1
2020,9,322.044418464296,300,0.108870463389094,12.5,-0.564451999093283,15,TRUE,19,2001,1,1
2021,9,337.154885619957,315,-0.2806623809496,13,-0.564451999093283,15,TRUE,20,2001,1,1
2022,9,352.757755186999,330,-0.17779281390741,13.5,-0.564451999093283,15,TRUE,21,2001,1,1
2023,9,367.799476917601,345,-0.636071083305827,14,-0.564451999093283,15,TRUE,22,2001,1,1
2024,9,384.128646426734,360,0.193098425826954,14.5,-0.564451999093283,15,TRUE,23,2001,1,1
1995,10,8.29070060194877,0,-0.81926156900713,0,-0.890037829044104,15,FALSE,-6,2001,1,1
1996,10,9.53983078232032,0,-0.0701313886355739,0.5,-0.890037829044104,15,FALSE,-5,2001,1,1
1997,10,10.3375499748744,0,0.227587803918481,1,-0.890037829044104,15,FALSE,-4,2001,1,1
